ID,Beta
cg05575921,-10.68
cg05951221,-10.32
cg01940273,-8.99
cg03636183,-4.65
cg06126421,-5.92
cg26703534,0.28
cg21161138,-4.3
cg11660018,-3.74
cg09935388,-6.87
cg25648203,-2.25
cg19859270,-2.69
cg03329539,-6.27
cg24859433,-1.45
cg14753356,-2.64
cg07339236,-2.71
cg04885881,-2.16
cg23916896,-4.32
cg14817490,-3.31
cg11902777,-7.19
cg21611682,-2.04
cg01692968,-2.37
cg08709672,-1.05
cg07826859,-1.75
cg25189904,-7.02
cg17287155,-1.67
cg06226150,-1.37
cg23161492,-5.41
cg09022230,0.73
cg19572487,-4.19
cg03991871,-5.59
cg14580211,-0.43
cg15187398,-1.28
cg10750182,-0.64
cg25949550,-2.8
cg05284742,-0.49
cg23931381,0.71
cg26271591,-0.44
cg03646329,-2.47
cg21733098,-1.78
